# Stall-line receipt — fleet node zellij.log 'did not complete within' lines
# Source: ssh 98dci4-clu-2058  file=/tmp/zellij-39486/zellij-log/zellij.log
# Extracted: 2026-09-25T01:34:35+02:00 by node fleet-view-note-repair over ssh
# Command: grep 'did not complete within' /tmp/zellij-39486/zellij-log/zellij.log
# Total matching lines: 33
#
# The lines below are the instrument's complete positive signal. Last stall line
# is 22:30:48.186; the log's own final write is 23:44:22.328 (a plugin unload,
# no stall line), so no 'did not complete within' line exists after 22:30:48.
#
# Probe-run timing: the probe measurement artifacts in this directory (.timed,
# .create, first-client-diffsize.bin) were committed in 6bfe2da2 at
# 2026-09-25T00:18:20+02:00, after the last stall line below. run5.sh counts
# grep -c 'did not complete' on this same log immediately before and after each
# scenario; because the matching set closes at 22:30:48, every probe read 33
# before and 33 after (stall_log_delta=0 per scenario).
#
2026-09-24 22:23:05.507 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:05.760 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:06.034 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:09.046 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:09.372 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:16.236 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:16.523 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:16.658 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:16.779 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:16.985 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:24.654 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:25.010 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:31.942 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:34.829 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:40.135 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:46.743 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:50.232 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:50.677 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:51.984 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:52.460 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:53.951 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:54.301 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:54.556 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:54.816 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:23:55.087 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:26:11.047 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:26:14.943 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:26:20.265 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:26:20.594 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:26:20.865 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:30:45.074 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:30:45.346 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
2026-09-24 22:30:48.186 [server_router] zellij-server/src/route.rs:77: Action NoOp did not complete within 1s timeout 
