[2026-09-17 12:01:00 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:01 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:02 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:03 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:04 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:05 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:06 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:07 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:08 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:09 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:10 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:11 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:12 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:13 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:14 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:15 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:16 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
[2026-09-17 12:01:17 TP0 EP0] Decode batch, #running-req: 1, #full token: 7936, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 120.0, #queue-req: 0
