[2026-09-23 12:06:00 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:00 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:01 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:01 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:02 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:02 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:03 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:03 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:04 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:06:04 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.60, swa token usage: 0.00, #running-req: 24, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1000.0
[2026-09-23 12:06:05 TP0 EP0] Decode batch, #running-req: 24, #full token: 1, full token usage: 0.60, #swa token: 1, swa token usage: 0.00, accept len: 3.5, accept rate: 0.5, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
