[2026-09-23 12:00:00 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:00 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:01 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:01 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:02 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:02 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:03 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:03 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:04 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:04 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:05 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
[2026-09-23 12:00:05 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 100, #cached-token: 9900, full token usage: 0.85, swa token usage: 0.10, #running-req: 32, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 900.0
[2026-09-23 12:00:06 TP0 EP0] Decode batch, #running-req: 32, #full token: 1, full token usage: 0.85, #swa token: 1, swa token usage: 0.10, accept len: 4.0, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 500.00, #queue-req: 0
