scope,regime,target,model,frames,values,explained_variance,mse
d3d_shot_030fc156d6,all,ff_prime,tuned_transport,288,6912,-0.07328857320883331,0.008771699089759746
d3d_shot_030fc156d6,all,ff_prime,default_transport,288,6912,-0.07330064044367779,0.008771797712027367
d3d_shot_030fc156d6,all,ff_prime,persistence,288,6912,-0.07328244963520647,0.00877164904343805
d3d_shot_030fc156d6,all,psi,tuned_transport,288,6912,-0.3568880187683139,0.19399562063902814
d3d_shot_030fc156d6,all,psi,default_transport,288,6912,-5.0074178605215485,0.8588864668049313
d3d_shot_030fc156d6,all,psi,persistence,288,6912,-5.393933760974878,0.9141470269677074
d3d_shot_030fc156d6,ramp,ff_prime,tuned_transport,36,864,-1.6034254290998966,0.004257535095146673
d3d_shot_030fc156d6,ramp,ff_prime,default_transport,36,864,-1.6035636345260516,0.004257761110628283
d3d_shot_030fc156d6,ramp,ff_prime,persistence,36,864,-1.602550885463398,0.004256104902377173
d3d_shot_030fc156d6,ramp,psi,tuned_transport,36,864,-0.7429368339961071,0.06463931942280393
d3d_shot_030fc156d6,ramp,psi,default_transport,36,864,-0.1898593574968792,0.04412764569391436
d3d_shot_030fc156d6,ramp,psi,persistence,36,864,-2.0309902989558903,0.11240863482839641
d3d_shot_030fc156d6,flat_top,ff_prime,tuned_transport,252,6048,-0.15231339259093657,0.009416579660418756
d3d_shot_030fc156d6,flat_top,ff_prime,default_transport,252,6048,-0.15232323403830605,0.009416660083655808
d3d_shot_030fc156d6,flat_top,ff_prime,persistence,252,6048,-0.15233139545626484,0.009416726777875318
d3d_shot_030fc156d6,flat_top,psi,tuned_transport,252,6048,-1.1551104065891793,0.2124750922413459
d3d_shot_030fc156d6,flat_top,psi,default_transport,252,6048,-8.892158718372837,0.9752805841065052
d3d_shot_030fc156d6,flat_top,psi,persistence,252,6048,-9.433793832596013,1.0286810829876092
d3d_shot_03483bc887,all,ff_prime,tuned_transport,249,5976,-0.09737193634498742,0.012841474061337467
d3d_shot_03483bc887,all,ff_prime,default_transport,249,5976,-0.09738252612052212,0.012841597983157715
d3d_shot_03483bc887,all,ff_prime,persistence,249,5976,-0.09738197354042866,0.012841591516851533
d3d_shot_03483bc887,all,psi,tuned_transport,249,5976,-0.458315715475732,0.1502264588880556
d3d_shot_03483bc887,all,psi,default_transport,249,5976,-3.5926698418656207,0.47310779131277897
d3d_shot_03483bc887,all,psi,persistence,249,5976,-5.450453157382836,0.6644848751018118
d3d_shot_03483bc887,ramp,ff_prime,tuned_transport,44,1056,-0.14224084158850503,0.013453365303006778
d3d_shot_03483bc887,ramp,ff_prime,default_transport,44,1056,-0.14227604484210166,0.013453779928550926
d3d_shot_03483bc887,ramp,ff_prime,persistence,44,1056,-0.14216348414226365,0.013452454183437854
d3d_shot_03483bc887,ramp,psi,tuned_transport,44,1056,0.1526359924353945,0.18503143018590554
d3d_shot_03483bc887,ramp,psi,default_transport,44,1056,-1.6597141668577184,0.5807784043056329
d3d_shot_03483bc887,ramp,psi,persistence,44,1056,-1.2359764793221628,0.4882505300409304
d3d_shot_03483bc887,flat_top,ff_prime,tuned_transport,205,4920,-0.24221171281428955,0.012710141307027953
d3d_shot_03483bc887,flat_top,ff_prime,default_transport,205,4920,-0.24221772607586378,0.012710202833902588
d3d_shot_03483bc887,flat_top,ff_prime,persistence,205,4920,-0.24224476865327382,0.012710479529876908
